NOME: Abreu e Lima; Código do Município: 2600054; Gentílico: abreu-limense; Prefeito: MARCOS JOSÉ DA SILVA;  --  ABA POPULAÇÃO; POPULAÇÃO: 99.622 pessoas  ; populacao_no_ultimo_censo_2010: 94.429 pessoas  ; densidade_demografica_2010: 748,29 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,9 salários mínimos  ; pessoal_ocupado_2016: 11.780 pessoas  ; populacao_ocupada_2016: 11,9 %  ; percentual_da_populacao_per_capita: 43,3 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 97,2 %  ; IDEB_anos_iniciais_2015: 4,3  ; IDEB_anos_finais_2015: 3,5  ; matriculas_fundamental_2017: 12.707 matrículas  ; matriculas_medio_2017: 3.317 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 216 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 68 escolas  ; numero_estabelecimentos_ensino_medio_2017: 13 escolas  ;  -- aba economia; pib_per_capita_2016: 14.390,40 R$  ; receitas_fontes_externas_2015: 89,3 %  ; idhm_2010: 0,679  ; receitas_realizadas_2017: 154.773,90 R$ (×1000)  ; despesas_empenhadas_2017: 150.392,49 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 15,74 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,5 internações por mil habitantes  ; estabelecimentos_sus_2009: 31 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 126,193 km²  ; sanitario_adequado_2010: 44,8 %  ; vias_publicas_2010: 24,1 %  ; Urbanização_publicas_2010: 6,9 %  
NOME: Afogados da Ingazeira; Código do Município: 2600104; Gentílico: afogadense; Prefeito: JOSE COIMBRA PATRIOTA FILHO;  --  ABA POPULAÇÃO; POPULAÇÃO: 37.111 pessoas  ; populacao_no_ultimo_censo_2010: 35.088 pessoas  ; densidade_demografica_2010: 92,90 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,6 salários mínimos  ; pessoal_ocupado_2016: 3.234 pessoas  ; populacao_ocupada_2016: 8,8 %  ; percentual_da_populacao_per_capita: 47,9 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 97,3 %  ; IDEB_anos_iniciais_2015: 5,4  ; IDEB_anos_finais_2015: 4,6  ; matriculas_fundamental_2017: 5.778 matrículas  ; matriculas_medio_2017: 1.366 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 104 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 32 escolas  ; numero_estabelecimentos_ensino_medio_2017: 5 escolas  ;  -- aba economia; pib_per_capita_2016: 10.460,83 R$  ; receitas_fontes_externas_2015: 84,8 %  ; idhm_2010: 0,657  ; receitas_realizadas_2017: 84.524,29 R$ (×1000)  ; despesas_empenhadas_2017: 84.199,55 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 12,25 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,3 internações por mil habitantes  ; estabelecimentos_sus_2009: 22 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 377,696 km²  ; sanitario_adequado_2010: 71 %  ; vias_publicas_2010: 86,7 %  ; Urbanização_publicas_2010: 1,3 %  
NOME: Afrânio; Código do Município: 2600203; Gentílico: afraniense; Prefeito: RAFAEL ANTONIO CAVALCANTI;  --  ABA POPULAÇÃO; POPULAÇÃO: 19.456 pessoas  ; populacao_no_ultimo_censo_2010: 17.586 pessoas  ; densidade_demografica_2010: 11,80 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,5 salários mínimos  ; pessoal_ocupado_2016: 1.187 pessoas  ; populacao_ocupada_2016: 6,2 %  ; percentual_da_populacao_per_capita: 51,6 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 98,7 %  ; IDEB_anos_iniciais_2015: 4,6  ; IDEB_anos_finais_2015: 3,5  ; matriculas_fundamental_2017: 2.879 matrículas  ; matriculas_medio_2017: 831 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 36 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 21 escolas  ; numero_estabelecimentos_ensino_medio_2017: 3 escolas  ;  -- aba economia; pib_per_capita_2016: 7.820,00 R$  ; receitas_fontes_externas_2015: 87,3 %  ; idhm_2010: 0,588  ; receitas_realizadas_2017: 48.071,21 R$ (×1000)  ; despesas_empenhadas_2017: 46.130,64 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 16,39 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,5 internações por mil habitantes  ; estabelecimentos_sus_2009: 9 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 1.490,594 km²  ; sanitario_adequado_2010: 24,2 %  ; vias_publicas_2010: 90,5 %  ; Urbanização_publicas_2010: 1,1 %  
NOME: Agrestina; Código do Município: 2600302; Gentílico: agrestinense; Prefeito: THIAGO LUCENA NUNES;  --  ABA POPULAÇÃO; POPULAÇÃO: 24.702 pessoas  ; populacao_no_ultimo_censo_2010: 22.679 pessoas  ; densidade_demografica_2010: 112,58 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,4 salários mínimos  ; pessoal_ocupado_2016: 1.500 pessoas  ; populacao_ocupada_2016: 6,1 %  ; percentual_da_populacao_per_capita: 49,1 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 96,4 %  ; IDEB_anos_iniciais_2015: 4,2  ; IDEB_anos_finais_2015: 3,3  ; matriculas_fundamental_2017: 3.694 matrículas  ; matriculas_medio_2017: 638 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 30 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 24 escolas  ; numero_estabelecimentos_ensino_medio_2017: 1 escolas  ;  -- aba economia; pib_per_capita_2016: 9.024,69 R$  ; receitas_fontes_externas_2015: 90 %  ; idhm_2010: 0,592  ; receitas_realizadas_2017: 61.063,17 R$ (×1000)  ; despesas_empenhadas_2017: 60.315,07 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 14,04 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 2,7 internações por mil habitantes  ; estabelecimentos_sus_2009: 17 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 200,581 km²  ; sanitario_adequado_2010: 67,8 %  ; vias_publicas_2010: 63,9 %  ; Urbanização_publicas_2010: 1,8 %  
NOME: Água Preta; Código do Município: 2600401; Gentílico: água-pretense; Prefeito: EDUARDO PASSOS COUTINHO CORREA DE OLIVEI;  --  ABA POPULAÇÃO; POPULAÇÃO: 36.454 pessoas  ; populacao_no_ultimo_censo_2010: 33.095 pessoas  ; densidade_demografica_2010: 62,05 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,6 salários mínimos  ; pessoal_ocupado_2016: 1.294 pessoas  ; populacao_ocupada_2016: 3,6 %  ; percentual_da_populacao_per_capita: 56,1 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 94 %  ; IDEB_anos_iniciais_2015: 4,4  ; IDEB_anos_finais_2015: 3,7  ; matriculas_fundamental_2017: 4.317 matrículas  ; matriculas_medio_2017: 1.242 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 50 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 42 escolas  ; numero_estabelecimentos_ensino_medio_2017: 2 escolas  ;  -- aba economia; pib_per_capita_2016: 7.107,34 R$  ; receitas_fontes_externas_2015: 86 %  ; idhm_2010: 0,553  ; receitas_realizadas_2017: 71.553,72 R$ (×1000)  ; despesas_empenhadas_2017: 66.100,21 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 9,07 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,3 internações por mil habitantes  ; estabelecimentos_sus_2009: 12 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 533,332 km²  ; sanitario_adequado_2010: 40,6 %  ; vias_publicas_2010: 38,7 %  ; Urbanização_publicas_2010: 18,4 %  
NOME: Águas Belas; Código do Município: 2600500; Gentílico: águas-belense; Prefeito: LUIZ AROLDO REZENDE DE LIMA;  --  ABA POPULAÇÃO; POPULAÇÃO: 43.195 pessoas  ; populacao_no_ultimo_censo_2010: 40.235 pessoas  ; densidade_demografica_2010: 45,41 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,8 salários mínimos  ; pessoal_ocupado_2016: 1.829 pessoas  ; populacao_ocupada_2016: 4,3 %  ; percentual_da_populacao_per_capita: 53,9 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 96,1 %  ; IDEB_anos_iniciais_2015: 4,2  ; IDEB_anos_finais_2015: 3,8  ; matriculas_fundamental_2017: 8.417 matrículas  ; matriculas_medio_2017: 1.609 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 55 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 34 escolas  ; numero_estabelecimentos_ensino_medio_2017: 3 escolas  ;  -- aba economia; pib_per_capita_2016: 7.317,75 R$  ; receitas_fontes_externas_2015: 91,8 %  ; idhm_2010: 0,526  ; receitas_realizadas_2017: 84.026,50 R$ (×1000)  ; despesas_empenhadas_2017: 81.990,37 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 13,07 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,7 internações por mil habitantes  ; estabelecimentos_sus_2009: 10 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 885,988 km²  ; sanitario_adequado_2010: 29,1 %  ; vias_publicas_2010: 91,7 %  ; Urbanização_publicas_2010: 7,4 %  
NOME: Alagoinha; Código do Município: 2600609; Gentílico: alagoinhense; Prefeito: UILAS LEAL DA SILVA;  --  ABA POPULAÇÃO; POPULAÇÃO: 14.554 pessoas  ; populacao_no_ultimo_censo_2010: 13.759 pessoas  ; densidade_demografica_2010: 63,16 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,5 salários mínimos  ; pessoal_ocupado_2016: 1.005 pessoas  ; populacao_ocupada_2016: 7,0 %  ; percentual_da_populacao_per_capita: 49,9 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 96,3 %  ; IDEB_anos_iniciais_2015: 4  ; IDEB_anos_finais_2015: 3,8  ; matriculas_fundamental_2017: 2.169 matrículas  ; matriculas_medio_2017: 540 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 24 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 16 escolas  ; numero_estabelecimentos_ensino_medio_2017: 1 escolas  ;  -- aba economia; pib_per_capita_2016: 8.244,12 R$  ; receitas_fontes_externas_2015: 90,6 %  ; idhm_2010: 0,599  ; receitas_realizadas_2017: 37.869,58 R$ (×1000)  ; despesas_empenhadas_2017: 34.348,50 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 11,49 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 1,5 internações por mil habitantes  ; estabelecimentos_sus_2009: 11 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 216,452 km²  ; sanitario_adequado_2010: 47,9 %  ; vias_publicas_2010: 55,9 %  ; Urbanização_publicas_2010: 7,8 %  
NOME: Aliança; Código do Município: 2600708; Gentílico: aliancense; Prefeito: XISTO LOURENÇO DE FREITAS NETO;  --  ABA POPULAÇÃO; POPULAÇÃO: 38.375 pessoas  ; populacao_no_ultimo_censo_2010: 37.415 pessoas  ; densidade_demografica_2010: 137,16 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,6 salários mínimos  ; pessoal_ocupado_2016: 3.018 pessoas  ; populacao_ocupada_2016: 7,9 %  ; percentual_da_populacao_per_capita: 50,5 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 97 %  ; IDEB_anos_iniciais_2015: -  ; IDEB_anos_finais_2015: -  ; matriculas_fundamental_2017: 6.164 matrículas  ; matriculas_medio_2017: 1.093 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 69 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 26 escolas  ; numero_estabelecimentos_ensino_medio_2017: 5 escolas  ;  -- aba economia; pib_per_capita_2016: 8.367,20 R$  ; receitas_fontes_externas_2015: 91,1 %  ; idhm_2010: 0,604  ; receitas_realizadas_2017: 74.882,94 R$ (×1000)  ; despesas_empenhadas_2017: 78.786,39 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 6,55 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,3 internações por mil habitantes  ; estabelecimentos_sus_2009: 18 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 272,773 km²  ; sanitario_adequado_2010: 55,8 %  ; vias_publicas_2010: 47,6 %  ; Urbanização_publicas_2010: 4,8 %  
NOME: Altinho; Código do Município: 2600807; Gentílico: altinense; Prefeito: ORLANDO JOSÉ DA SILVA;  --  ABA POPULAÇÃO; POPULAÇÃO: 22.959 pessoas  ; populacao_no_ultimo_censo_2010: 22.353 pessoas  ; densidade_demografica_2010: 49,18 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,6 salários mínimos  ; pessoal_ocupado_2016: 1.022 pessoas  ; populacao_ocupada_2016: 4,5 %  ; percentual_da_populacao_per_capita: 50,6 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 96,9 %  ; IDEB_anos_iniciais_2015: 4,1  ; IDEB_anos_finais_2015: 3,9  ; matriculas_fundamental_2017: 2.945 matrículas  ; matriculas_medio_2017: 836 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 39 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 32 escolas  ; numero_estabelecimentos_ensino_medio_2017: 2 escolas  ;  -- aba economia; pib_per_capita_2016: 6.110,14 R$  ; receitas_fontes_externas_2015: 92,3 %  ; idhm_2010: 0,598  ; receitas_realizadas_2017: 41.122,68 R$ (×1000)  ; despesas_empenhadas_2017: 41.919,39 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 16,74 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,2 internações por mil habitantes  ; estabelecimentos_sus_2009: 10 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 452,523 km²  ; sanitario_adequado_2010: 52,4 %  ; vias_publicas_2010: 81,7 %  ; Urbanização_publicas_2010: 3,4 %  
NOME: Amaraji; Código do Município: 2600906; Gentílico: amarajinense; Prefeito: RILDO REIS GOUVEIA;  --  ABA POPULAÇÃO; POPULAÇÃO: 22.788 pessoas  ; populacao_no_ultimo_censo_2010: 21.939 pessoas  ; densidade_demografica_2010: 93,37 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,6 salários mínimos  ; pessoal_ocupado_2016: 1.841 pessoas  ; populacao_ocupada_2016: 8,1 %  ; percentual_da_populacao_per_capita: 48,8 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 96,6 %  ; IDEB_anos_iniciais_2015: 4  ; IDEB_anos_finais_2015: 2,9  ; matriculas_fundamental_2017: 3.586 matrículas  ; matriculas_medio_2017: 548 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 21 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 30 escolas  ; numero_estabelecimentos_ensino_medio_2017: 2 escolas  ;  -- aba economia; pib_per_capita_2016: 8.249,41 R$  ; receitas_fontes_externas_2015: 82,8 %  ; idhm_2010: 0,580  ; receitas_realizadas_2017: 49.759,74 R$ (×1000)  ; despesas_empenhadas_2017: 49.201,10 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 20,77 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,7 internações por mil habitantes  ; estabelecimentos_sus_2009: 11 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 234,956 km²  ; sanitario_adequado_2010: 50,8 %  ; vias_publicas_2010: 23 %  ; Urbanização_publicas_2010: 16 %  
NOME: Angelim; Código do Município: 2601003; Gentílico: angelinense; Prefeito: MARCIO DOUGLAS CAVALCANTI DUARTE;  --  ABA POPULAÇÃO; POPULAÇÃO: 11.072 pessoas  ; populacao_no_ultimo_censo_2010: 10.202 pessoas  ; densidade_demografica_2010: 86,43 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 2,3 salários mínimos  ; pessoal_ocupado_2016: 603 pessoas  ; populacao_ocupada_2016: 5,5 %  ; percentual_da_populacao_per_capita: 51,7 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 96,4 %  ; IDEB_anos_iniciais_2015: 4  ; IDEB_anos_finais_2015: 2,9  ; matriculas_fundamental_2017: 1.622 matrículas  ; matriculas_medio_2017: 353 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 13 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 12 escolas  ; numero_estabelecimentos_ensino_medio_2017: 1 escolas  ;  -- aba economia; pib_per_capita_2016: 10.065,61 R$  ; receitas_fontes_externas_2015: 92,8 %  ; idhm_2010: 0,572  ; receitas_realizadas_2017: 31.575,19 R$ (×1000)  ; despesas_empenhadas_2017: 28.332,48 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 12,74 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 1 internações por mil habitantes  ; estabelecimentos_sus_2009: 7 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 118,037 km²  ; sanitario_adequado_2010: 54,7 %  ; vias_publicas_2010: 50,1 %  ; Urbanização_publicas_2010: 4,5 %  
